症状,草药
[367],"[73, 149, 212, 226, 444, 659, 666, 799]"
[193],[659]
[367],"[149, 212, 659, 711]"
"[193, 367]","[149, 456, 546, 574, 659, 699, 711, 729, 777]"
[193],"[149, 490]"
[367],"[73, 149, 212, 442, 444, 504, 659]"
[199],"[430, 447, 547, 549, 571, 760, 763]"
[199],"[430, 447, 547, 571, 659, 729, 760, 763]"
"[28, 377]","[474, 475, 572, 573, 651, 761]"
[227],[382]
[363],[382]
"[276, 346, 372, 376]","[28, 463, 546, 578, 628, 651, 652, 653]"
[262],"[58, 438, 785, 786]"
[375],[555]
[344],[677]
[231],[574]
[348],"[180, 425, 428, 546, 659, 711, 775]"
[266],"[276, 428, 430, 446, 477, 571, 641, 763]"
[299],"[467, 649, 742]"
"[14, 147]","[546, 645, 659, 777]"
[210],"[450, 516]"
[348],"[73, 276, 425, 428, 430, 477, 546, 547, 571, 641, 659, 717, 775]"
[274],"[430, 659, 742]"
"[266, 274, 363]","[575, 641, 659, 777]"
"[283, 308, 348]","[425, 641, 659, 775]"
[389],"[430, 571, 729]"
[274],"[430, 729]"
[222],"[460, 501, 785, 786]"
[227],"[441, 475, 503, 538, 633, 654, 784]"
[389],"[46, 66, 423, 517, 546, 557, 633, 649, 659, 666]"
[308],"[546, 548, 659]"
[262],[477]
[306],"[423, 442, 444, 517, 666, 677]"
"[319, 326]",[784]
[262],"[131, 427, 477, 655, 719, 745]"
[262],"[200, 233, 255, 272, 427, 441, 467, 517, 519, 575, 588, 640, 641, 677, 705, 732, 748, 784]"
[367],"[477, 492, 501, 546, 659, 745, 785, 786]"
[203],"[70, 437, 485, 589, 652]"
"[88, 262]","[474, 654]"
"[165, 344, 349, 363]",[729]
"[286, 306]","[415, 436, 474, 475, 481, 508, 548, 611, 654, 659, 700, 775]"
[367],"[556, 787]"
[103],"[272, 651]"
[80],"[46, 643]"
[215],"[415, 472, 573, 716]"
[358],"[441, 442, 449, 546, 659, 666, 688, 775]"
[198],"[427, 433, 437, 522, 523, 525, 557, 589, 670, 671]"
[314],"[256, 422, 436, 485, 522, 523, 566, 601, 670, 671, 675, 677]"
[246],"[477, 490, 718, 723]"
[367],"[212, 216, 659, 676, 699, 742]"
"[214, 241, 286, 295, 306]","[36, 79, 436, 437, 438, 441, 442, 443, 449, 467, 477, 490, 492, 507, 517, 544, 545, 546, 574, 633, 637, 638, 655, 659]"
[290],[604]
"[28, 377]","[201, 467, 700]"
"[286, 306]","[10, 442, 478, 490, 492, 496, 508, 522, 523, 589, 604, 606, 659, 715, 723, 784]"
[254],"[198, 438, 467, 615, 633]"
"[262, 299, 314, 363, 367]","[67, 200, 522, 523, 677, 699, 705, 732, 748]"
[348],"[203, 211, 212, 256, 262, 525, 544, 546, 670]"
"[286, 369]","[46, 475, 557]"
[389],"[37, 46, 218, 415, 434, 557, 568, 571, 701, 710]"
[227],"[46, 110, 575, 588]"
[14],[548]
[215],"[415, 472, 573, 716]"
[165],"[142, 249, 460, 468, 485, 589, 604, 605]"
[204],"[123, 429, 441, 524, 655, 705]"
[208],[142]
[367],"[212, 216, 659, 676, 699, 742]"
"[214, 241, 286, 295, 306]","[36, 79, 436, 437, 438, 441, 442, 443, 449, 467, 477, 490, 492, 507, 517, 544, 545, 546, 574, 633, 637, 638, 655, 659]"
[242],"[179, 427, 429, 442, 444, 475, 498, 504, 517, 522, 523, 557, 568, 605, 659, 675, 677, 705, 711]"
[196],"[256, 262]"
"[133, 266, 278, 299]","[255, 275]"
[367],[275]
[369],"[46, 563]"
[262],"[103, 359, 393, 522, 523, 641, 705]"
[254],"[198, 438, 467, 615, 633]"
[389],[467]
"[367, 369]","[37, 191, 349, 475, 557, 563, 730]"
[389],"[349, 445, 557, 640, 649, 666, 688, 692]"
"[286, 369]","[46, 475, 557]"
[389],"[37, 427, 475, 557, 563, 568]"
"[236, 274, 346, 369]","[106, 415, 427, 475, 490, 508, 514, 557, 596]"
[236],"[37, 557, 659, 710]"
[10],"[37, 46, 196, 426, 475, 557, 568, 711]"
[369],"[37, 415, 472, 475, 557, 568]"
[217],"[427, 517, 557, 659]"
[10],"[37, 429, 557, 564, 604, 711]"
[367],"[441, 472, 557]"
"[217, 353]","[429, 517, 557, 589, 659, 700, 705, 710, 763]"
[375],"[101, 557]"
[383],"[37, 138, 426, 427, 441, 557, 568, 571, 633, 659, 676, 711]"
[338],"[37, 46, 138, 209, 426, 427, 557, 571, 676, 711]"
[338],"[37, 46, 441, 557, 633]"
"[274, 353]","[37, 46, 427, 472, 475, 557, 596]"
[110],"[37, 395, 426, 427, 429, 430, 525, 555, 557, 574, 593, 677, 711]"
[348],"[434, 557, 775]"
[346],"[395, 426, 427, 429, 557, 597, 604, 605, 659, 676, 703, 708, 711]"
[367],"[475, 557, 654]"
"[217, 367]","[427, 429, 517, 557, 659, 705, 711]"
"[138, 369]","[441, 546, 557, 633, 655, 659]"
[110],"[37, 395, 426, 427, 429, 430, 525, 555, 557, 574, 593, 677, 711]"
[389],"[427, 429, 557, 574, 659, 711, 729]"
[349],"[37, 517, 557, 659, 705, 730]"
[389],"[37, 490, 492, 508, 557, 563]"
[198],"[99, 110, 427, 429, 557, 604, 655]"
[369],"[34, 37, 415, 434, 436, 472, 557, 563, 568, 621, 655]"
[313],"[426, 429, 525, 670, 677]"
[262],"[229, 444, 459, 460, 746]"
[138],"[129, 138, 180, 218, 415, 427, 429, 475, 522, 525, 557, 568, 604, 654, 677, 711]"
[368],"[30, 129, 180, 209, 429, 477, 490, 525, 546, 557, 675, 677, 691]"
[382],"[211, 230, 254, 427, 525, 541, 544, 546, 597, 649, 655, 670, 729]"
[262],"[421, 468]"
[106],"[426, 427, 525, 546, 555, 604, 655, 691]"
[357],"[209, 211, 230, 427, 546, 666]"
[314],"[256, 264, 419, 422, 478, 490, 508, 522, 652, 653, 654, 655]"
[314],"[180, 209, 427, 525, 655, 670, 691]"
[211],"[211, 426, 427, 428, 649, 655, 666, 703, 775]"
[236],"[211, 426, 427, 529, 593, 604, 605, 671]"
"[219, 276]","[438, 441, 605, 611, 633, 655, 677, 711]"
"[254, 293, 312, 314, 342]","[427, 472, 564, 571, 596, 597, 605, 719]"
[369],"[37, 441, 472, 503, 538, 564, 597, 633, 654, 655]"
[346],"[8, 233, 557]"
"[253, 338]","[37, 434, 538]"
"[299, 367]","[212, 275, 276, 446, 456, 546, 645, 659, 666, 699, 799]"
"[357, 367]","[275, 504, 535, 659, 699, 799]"
[299],"[121, 212, 275, 276, 446, 447, 456, 645, 659, 666, 699]"
"[266, 367]","[212, 275, 286, 537, 546, 659, 666]"
"[299, 367]","[275, 546, 659, 699]"
[367],"[149, 275, 447, 452, 456, 611, 649, 699, 763]"
[367],"[275, 441, 444, 446, 456, 535, 546, 645, 699, 799]"
[367],"[131, 275, 456, 547, 699, 729, 799]"
[193],"[275, 546, 626, 659, 666, 699]"
"[259, 308, 367, 371]","[212, 275, 659, 666, 676, 699, 799]"
"[259, 266]","[28, 275, 387, 427, 574, 641, 659, 666, 703]"
[217],"[275, 449, 477, 546, 659, 666]"
[283],"[226, 275, 659, 666, 761, 763]"
[299],"[275, 546]"
"[266, 367]","[212, 275, 286, 537, 546, 659, 666]"
[217],"[275, 427, 517, 666, 705]"
[299],"[275, 546, 659, 676, 699]"
[246],"[272, 275, 276]"
[283],"[226, 275, 293, 659, 666, 763]"
[367],"[275, 276, 444, 456, 645, 659, 666, 676, 699]"
[346],"[275, 428, 633, 659, 699, 711, 769]"
[283],"[52, 275, 276, 425, 504, 546, 659, 666, 691, 799]"
[367],"[275, 430, 446, 574, 659]"
[283],"[226, 275, 659, 666, 761, 763]"
[367],"[444, 546, 659, 666, 692, 711, 799]"
"[312, 389]","[275, 452]"
[217],[275]
[299],[275]
"[323, 367]","[275, 446, 504, 546, 597, 659]"
"[193, 367]","[275, 456, 546, 659, 666, 699, 711, 799]"
[86],"[275, 387, 425, 490, 546, 552, 640, 655, 659, 666, 677, 799]"
[367],"[48, 275, 456, 659, 799]"
[367],"[275, 286, 446, 546, 641, 645, 659, 677, 699, 799]"
[367],"[275, 425, 456, 546, 645, 659, 799]"
[315],"[275, 430, 504, 659, 729, 799]"
[293],"[66, 211, 275, 541, 546, 649, 655]"
"[236, 312, 389]",[275]
[367],"[121, 212, 275, 444, 456, 777]"
"[208, 355]",[275]
[367],"[275, 456]"
[367],"[275, 438, 564, 577, 596, 604, 605, 666, 670, 699]"
[367],"[272, 275, 286, 430, 452, 456, 633, 659, 699, 711]"
[367],"[272, 275, 276, 444, 546, 547, 633, 799]"
[367],"[275, 546, 659, 699]"
[367],"[272, 275, 276, 286, 440, 444, 456, 699]"
[367],"[272, 275, 276, 286, 440, 456, 699]"
[367],"[121, 212, 275, 444, 456, 777]"
"[57, 283, 357, 367]","[123, 180, 425, 490, 498, 525, 552, 659, 769]"
[198],"[123, 442, 444, 492, 498, 507, 659, 705]"
"[38, 363]",[123]
"[236, 348]","[255, 275, 409, 427, 429, 517, 546, 640, 677, 710, 777]"
[299],"[212, 456, 640, 659, 666, 677, 688]"
[367],"[272, 275, 276, 286, 440, 444, 456, 699]"
[175],"[155, 359, 393, 677]"
[245],"[349, 415, 467, 475, 642, 649, 654, 659, 703]"
"[236, 308]","[349, 427, 571, 577, 654, 659, 703, 775]"
"[338, 389]","[153, 349, 472, 654]"
[274],"[138, 276, 292, 349, 425, 427, 430, 467, 475, 490, 555, 571, 654, 659, 763]"
[274],"[349, 467, 574, 649, 653, 729, 742]"
[369],"[150, 349, 415, 472, 475, 490, 508, 571, 572, 654, 773]"
[274],"[46, 150, 349, 415]"
"[193, 262, 367, 369]","[393, 441]"
[299],"[30, 94, 149, 349, 421, 546, 666, 729]"
[308],"[276, 349, 430, 467, 571, 641, 659, 666, 742]"
[299],"[30, 149, 276, 349, 546, 571, 659, 666, 729, 777]"
[308],"[349, 467, 659, 729, 742]"
[369],"[37, 349, 503, 557, 729]"
"[274, 308, 389]","[349, 415, 444, 477, 554, 568, 571, 641, 652, 729, 763, 777]"
[208],"[150, 349, 415, 472, 475, 490, 554, 571, 654, 659, 773]"
[308],"[286, 349, 415, 428, 456, 467, 571, 659, 742]"
[274],"[203, 349, 415, 428, 467, 571, 652, 659, 742]"
"[210, 299]","[349, 535]"
[369],"[150, 160, 349, 434, 441, 475, 633, 659, 666]"
"[274, 389]","[349, 415, 425, 427, 430, 444, 477, 546, 554, 571, 652, 666, 729, 742, 763, 769, 777, 781]"
[308],"[37, 349, 472, 503, 538, 563, 654, 659]"
[349],"[349, 475, 503, 563, 568, 654, 659, 701, 724, 742]"
[363],"[475, 490, 640, 655, 666, 677]"
"[222, 266]","[131, 429, 477, 490, 729]"
"[86, 193, 236, 266, 274, 348]","[140, 158, 208, 426, 429, 438, 477, 604, 605, 659, 666, 723, 729, 769]"
[363],"[490, 606]"
[193],"[208, 477, 490, 508, 530, 546, 666]"
"[106, 333, 345, 363]","[253, 425, 477, 478, 485, 490, 546, 571, 604, 655, 666, 670, 677, 775, 777]"
[246],"[208, 477, 490]"
"[217, 236]","[441, 442, 477, 490, 492, 504, 546, 655, 718, 723]"
"[293, 306, 322, 357]","[442, 490, 492, 605, 745]"
[262],"[426, 451, 490, 729, 742, 758]"
[164],"[425, 441, 490, 520, 605, 659, 677]"
[164],"[425, 441, 442, 449, 490, 520, 633, 659]"
[241],"[434, 442, 483, 490, 492, 494, 496, 507, 508, 659, 723]"
"[259, 357]","[66, 73, 275, 433, 434, 438, 439, 441, 442, 477, 490, 507, 508, 546, 611, 655, 659, 666, 705]"
"[193, 246, 262, 306, 367]","[73, 427, 441, 442, 444, 449, 477, 490, 492, 498, 504, 517, 525, 544, 546, 640, 659, 677]"
[241],"[99, 501, 623, 626, 699, 723, 729, 784, 785, 786]"
[241],"[657, 784]"
[306],"[34, 99, 139, 208, 434, 436, 438, 441, 442, 475, 477, 478, 485, 490, 492, 501, 504, 508, 522, 523, 525, 529, 540, 544, 546, 547, 552, 605, 638, 655, 677, 723, 729, 745, 769, 784, 785, 786, 792]"
[319],"[442, 467, 492, 494]"
[306],"[462, 784]"
"[290, 349]","[437, 438, 441, 442, 444, 492, 504, 507, 517, 546, 611, 640, 659, 677, 705, 711]"
[319],"[150, 160, 436, 442, 467, 477, 490, 492, 494, 637, 638, 655, 718, 723, 781]"
"[353, 363, 375]","[437, 438, 441, 442, 444, 504, 517, 546, 605, 659, 666, 677, 705, 769]"
"[208, 376]",[215]
[329],"[272, 275, 525, 546, 655, 661, 666, 703]"
[246],"[114, 442, 532, 799]"
[246],"[427, 485, 487, 494, 507, 535, 575, 607, 659, 666]"
[246],"[114, 442, 532, 799]"
[314],"[27, 28, 109, 212, 256]"
"[138, 246, 299, 344, 367]","[256, 731, 763, 799]"
[376],"[28, 275, 421, 525, 666]"
"[138, 246, 299, 344, 367]","[468, 472, 763]"
"[271, 293]","[145, 146, 196, 203, 210, 211, 276, 441, 446, 456, 467, 468, 546, 574, 596, 597, 604, 649, 652, 655, 659, 677, 740, 769]"
"[14, 171, 246, 269, 276, 290, 325, 346]","[145, 146, 230, 276, 415, 427, 441, 444, 446, 465, 468, 546, 593, 596, 597, 605, 649, 657, 659, 666, 676, 677, 699, 720, 729, 748, 769, 775]"
"[14, 276, 290]","[145, 146, 203, 276, 427, 444, 468, 597, 604, 605, 655]"
"[210, 247, 257, 278, 294, 299]","[558, 611, 724, 729]"
[338],"[138, 207, 427, 429, 517, 557, 604, 666, 677, 682]"
[206],"[430, 467, 513, 514, 574, 626, 640, 676, 677, 710, 742]"
[306],"[546, 574, 655, 666, 717, 742, 775, 777]"
[306],"[441, 442, 477, 504, 517, 546, 640, 655, 666, 677]"
[306],"[196, 441, 492, 546, 666]"
[377],"[255, 427, 429, 507, 517, 555, 640, 677, 704]"
"[348, 376]","[655, 666]"
[227],"[513, 659, 729]"
[363],"[229, 469, 652]"
"[314, 367, 387]","[50, 59, 200, 272, 427, 522, 523, 577, 582, 588, 677, 705, 708, 729, 763]"
[376],"[428, 433, 442, 546, 615, 626, 655, 659, 666, 688]"
"[286, 306]","[36, 84, 436, 474, 475, 477, 490, 508, 520, 546, 611, 659, 700]"
[348],[46]
"[193, 367]","[46, 659]"
[174],"[37, 475, 563, 605, 654, 711]"
[367],"[216, 504, 659, 711]"
[217],[46]
[389],[46]
[389],"[37, 46, 557]"
[369],"[427, 475, 654, 724]"
[389],"[415, 528, 666, 729, 777]"
[369],[568]
"[308, 349]","[167, 179, 180, 209, 427, 429, 490, 517, 557, 571, 597, 611, 640, 655, 659, 666, 677]"
"[175, 217, 236, 286, 348]","[37, 427, 437, 472, 483, 517, 557, 563, 588, 589, 597, 659, 700, 705]"
[198],"[99, 110, 427, 429, 557, 604, 655]"
[262],[746]
[346],"[427, 596, 604, 605]"
[348],"[212, 275, 409, 427, 429, 546, 666, 777]"
[369],"[55, 140, 441, 475, 477, 490, 651, 654, 666, 699]"
"[196, 257, 332]","[66, 209, 212, 230, 444, 518, 546, 649, 654, 658, 659, 677, 688, 692, 763]"
"[147, 196, 208, 257, 274, 308, 348]","[209, 230, 272, 275, 276, 444, 518, 546, 649, 666, 677, 763]"
[196],"[66, 209, 212, 230, 272, 275, 276, 444, 467, 518, 649, 666, 677, 763]"
[196],"[66, 230, 275, 276, 423, 452, 484, 518, 546, 649, 659, 666, 670, 677]"
"[259, 308, 328]","[212, 230, 467, 518, 649, 654, 666, 688, 692, 763, 777]"
[322],"[441, 498]"
"[261, 363]","[70, 477, 485, 490, 492, 498, 784]"
[278],"[121, 272, 444, 467, 659, 676]"
"[211, 274]","[415, 427, 472, 475, 557, 568, 654, 659, 666]"
"[211, 369]","[37, 46, 415, 427, 472, 475, 557, 568, 654, 659, 666]"
"[125, 176, 236]","[167, 212, 253, 395, 429, 477, 478, 490, 517, 519, 546, 555, 557, 604, 659]"
[348],[557]
"[236, 349, 389]","[46, 441]"
[369],"[427, 475, 554, 557, 568, 659, 666, 701, 711]"
"[138, 348, 389]","[101, 184, 236, 525, 554, 557, 574, 670]"
"[217, 353]","[37, 423, 427, 517, 557, 597, 659, 677, 705, 708]"
"[81, 125, 135, 323, 353]","[425, 498, 503, 525, 535, 554, 557, 575, 593, 611, 651, 653]"
[174],"[46, 106, 427, 703]"
[174],"[37, 475, 563, 605, 654, 711]"
[369],"[546, 557, 655, 659, 666]"
[253],"[415, 427, 472, 475, 557, 563, 568, 659, 666]"
[389],"[110, 215, 448, 463, 613, 732]"
[314],"[34, 425, 441, 446, 492, 494, 504, 545, 546, 655, 659, 666]"
[192],"[393, 425, 507, 611, 649, 659, 677]"
[236],"[229, 621, 654, 761]"
"[202, 299, 306]","[34, 441, 633, 655, 666]"
"[269, 363]","[475, 490, 640, 655, 666, 677, 718]"
[369],"[37, 46, 415, 427, 441, 472, 475, 589, 633, 654]"
[278],"[121, 272, 444, 467, 659, 676]"
[375],[522]
[377],"[37, 46, 557]"
[305],"[425, 426, 428, 429, 430, 434, 437, 438, 441, 442, 444, 446, 504, 517, 546, 641, 659]"
"[363, 372]","[28, 30, 84, 145, 218, 253, 256, 263, 291, 420, 422, 525, 546, 555, 622, 628, 640, 652, 653, 670]"
[237],"[477, 490, 504, 666, 677, 729]"
"[286, 306, 348]","[441, 546, 557, 659]"
[344],"[255, 430, 507, 514, 516, 517, 640, 655, 666]"
"[207, 241, 348]","[425, 442, 507, 546, 640, 655, 659, 666, 677, 742]"
[299],"[490, 676]"
"[286, 306]","[438, 449, 655]"
[120],"[436, 442, 444, 490, 546, 605, 655, 657, 658, 659]"
"[286, 306]","[436, 449, 490, 492, 544, 545, 546, 605, 637, 638, 655, 659, 695]"
[363],"[437, 442, 507, 517, 548, 574, 605, 659, 705]"
[208],"[208, 211, 262, 546, 655, 666, 688]"
[246],"[179, 442, 477, 522, 523, 544, 641, 745, 785, 786]"
"[236, 383]","[441, 485, 589, 605, 637, 638, 723, 729, 745, 784]"
[164],"[441, 449, 492, 544, 546, 633, 655]"
"[286, 367]","[46, 441, 449, 463, 490, 492, 655, 729, 745]"
"[286, 306]","[79, 438, 449, 477, 490, 492, 494, 498, 637, 638, 659]"
[245],"[42, 441, 467, 532, 547, 574, 575, 659, 729]"
[367],"[477, 478, 490, 492, 504]"
[377],"[427, 429, 467, 574, 575, 641, 659, 700, 701, 703, 704, 710, 758]"
[305],"[293, 427, 428, 429, 430, 442, 444, 446, 504, 659, 710]"
[241],"[436, 437, 441, 442, 494, 507, 546, 638]"
[88],"[522, 523, 557, 659, 691, 784]"
[236],"[229, 621, 654, 761]"
"[202, 299, 306]","[34, 441, 633, 655, 666]"
[369],"[37, 46, 415, 427, 441, 472, 475, 589, 633, 654]"
[274],"[517, 597, 659, 666, 757, 775]"
[348],"[50, 730]"
[308],"[429, 659, 703]"
[367],[659]
[308],"[548, 659]"
[237],"[477, 490, 504, 666, 677, 729]"
"[286, 295]","[79, 436, 438, 490, 492, 494, 504, 507, 637, 638, 718, 723]"
"[202, 217, 241, 286, 348, 363]","[434, 437, 438, 439, 441, 442, 659]"
[367],"[226, 437, 438, 441, 442, 546, 638, 659]"
[71],"[492, 503, 504, 507, 517]"
[262],"[393, 429, 437, 441, 442, 444, 459, 467, 504, 507, 517, 574, 655, 659, 677, 705, 730, 758, 763, 775]"
[330],"[198, 223, 423, 436, 477, 494, 504, 637]"
[254],"[197, 208, 433, 438, 490, 604, 633, 655, 666]"
[246],"[196, 197, 425, 433, 438, 477, 478, 633, 641]"
"[193, 246]","[196, 197, 425, 433, 477, 478, 490, 546, 641]"
[254],"[36, 208, 433, 468, 477, 490, 603, 606, 640, 677]"
[254],"[433, 522, 703]"
[86],"[262, 427, 429, 433, 485, 490, 535, 553, 566, 604, 605, 745, 785]"
[246],"[196, 197, 425, 433, 438, 477, 478, 490, 633, 641, 666]"
[125],"[253, 262, 433, 477, 478, 485, 490, 536, 604]"
[314],"[262, 433, 485, 490, 511, 525]"
[367],"[477, 478, 490, 492, 504]"
"[95, 254]","[196, 433, 485, 659]"
[231],"[266, 437, 442, 485, 490, 507, 546]"
"[241, 246]","[441, 490, 492, 529, 604, 605, 606, 723]"
"[14, 363]","[437, 723, 784]"
"[266, 349]","[212, 425, 429, 441, 444, 490, 519, 552, 593, 777]"
[246],"[477, 490, 522, 536, 654, 785]"
[262],[653]
[363],"[208, 490, 655, 677]"
[241],"[490, 524, 659, 718]"
[193],"[490, 508, 517, 537, 589, 784]"
[306],"[193, 263, 477, 490, 745]"
[274],"[517, 597, 659, 666, 757, 775]"
[348],"[50, 730]"
[262],"[138, 276, 387, 430, 475, 478, 490, 508, 571, 641, 659, 677, 729, 758, 763]"
[38],"[498, 504, 655, 659, 705, 718]"
"[286, 348]","[184, 434, 478, 490, 508, 522, 547, 659, 675, 758]"
[222],"[429, 442, 498, 507, 718]"
[306],"[452, 597, 604, 605, 649, 655, 666, 688, 699]"
[286],"[46, 439, 441, 490, 492, 504, 508, 605, 637, 655, 659]"
"[286, 295]","[437, 442, 467, 472, 507, 574, 575, 654, 659]"
"[170, 257]","[546, 597, 604, 605, 655, 666]"
"[202, 217, 241, 286, 348, 363]","[434, 437, 438, 439, 441, 442, 659]"
[323],"[438, 477, 490, 504, 546, 621, 638, 655, 659, 666, 723]"
[363],"[196, 208, 263, 490, 498, 605]"
[88],"[58, 387, 393, 425, 467, 490, 494, 507, 637, 638, 695, 718, 723, 758, 784]"
[94],"[203, 433, 438, 467, 490, 652, 655, 677, 699, 705]"
[254],[433]
[306],"[490, 546, 655, 666]"
[290],"[477, 490]"
[363],"[442, 490, 508, 605, 637, 784]"
[363],"[140, 197, 481]"
[241],"[490, 492, 524, 659]"
"[236, 306]","[441, 446, 477, 490, 504, 546, 597, 655, 659, 666, 799]"
[202],"[433, 490]"
[308],"[36, 433, 490]"
[363],"[196, 438, 467, 490, 604, 633, 677]"
[247],"[438, 477, 490, 501, 605, 633, 723]"
[219],"[36, 490, 546, 604, 605, 659, 666]"
[219],"[438, 490, 633, 657, 659, 666, 718]"
[286],"[208, 478, 490, 508, 625, 626, 655, 723, 784]"
[247],"[426, 429, 438, 477, 490, 604, 605, 633, 666, 723, 729, 769]"
[363],"[444, 477, 490, 504, 546, 659, 666]"
[246],"[129, 131, 180, 477, 490, 519, 595, 799]"
"[290, 363]","[124, 129, 323, 430, 519, 546, 547, 641, 659, 729, 749]"
"[80, 227, 279, 308]","[109, 546, 547, 548, 549, 574, 659, 729]"
"[14, 222]","[545, 547, 548, 549, 659, 769]"
[80],"[547, 548]"
[246],"[477, 490, 504, 546, 547, 655]"
"[246, 305]","[542, 547, 566]"
"[246, 305]","[542, 547, 566]"
[348],[547]
[312],"[547, 566]"
[319],"[150, 444, 449, 467, 490, 492, 544, 546, 583, 638, 655, 718, 723, 758, 773]"
[349],"[7, 79, 153, 160, 223, 423, 425, 436, 437, 449, 467, 477, 490, 492, 494, 507, 546, 583, 637, 638, 655, 658, 718, 723]"
[314],"[129, 423, 546, 628]"
[299],"[131, 784]"
"[276, 282, 293]","[415, 472, 475, 596, 597, 605, 617, 654, 666, 677, 729, 784]"
"[338, 369]","[37, 46, 475, 522, 546, 563, 564, 566, 604, 666, 730]"
"[94, 363]","[467, 490, 640, 677, 729]"
[206],"[341, 543, 546, 547, 548, 641, 659]"
[206],"[546, 641, 659, 677]"
[382],"[109, 544, 546, 547, 548, 641, 659, 677]"
"[246, 293, 323, 363]","[196, 211, 218, 276, 438, 546, 659, 677, 691, 729, 740]"
[299],"[516, 655, 710, 742]"
[389],"[37, 46, 441, 463, 472, 475, 563, 564, 568, 654]"
[81],"[175, 180, 184, 426, 429, 433, 442, 517, 520, 525, 593, 677, 694]"
[254],"[36, 433]"
[254],"[36, 208, 433, 468, 477, 490, 603, 606, 640, 677]"
"[254, 339]","[180, 184, 209, 230, 433, 659, 666, 677]"
[282],"[433, 522, 523]"
[86],"[262, 427, 429, 433, 485, 490, 535, 553, 566, 604, 605, 745, 785]"
[367],"[286, 456, 645, 659, 699, 711, 742, 799]"
[367],"[462, 504, 645, 659, 711]"
[367],"[659, 699]"
"[156, 363]","[36, 196, 197, 203, 438, 490, 604, 633, 655, 677]"
"[269, 363]","[197, 208, 438, 490, 583, 604, 605, 633, 655, 659]"
[274],"[430, 438, 477, 490, 633, 655, 729, 777]"
[363],"[36, 131, 196, 477, 490, 666]"
[363],"[196, 477, 490, 504, 641]"
[363],"[429, 477, 490, 718]"
[247],"[490, 589, 604, 605, 677, 784]"
[247],"[212, 477, 490, 504, 546, 552, 655]"
[306],"[196, 208, 490, 597, 605, 625, 655]"
[193],"[48, 131, 477, 490, 535, 611, 799]"
[86],"[85, 196, 425, 438, 490, 552, 604, 605, 633, 641, 651, 655, 666, 677, 723, 768]"
[363],"[444, 490, 574, 677]"
[277],"[150, 160, 472, 475, 490, 572, 730, 773]"
[363],"[150, 475, 490, 677]"
[267],"[477, 490, 552, 571, 654, 677, 699, 723, 784]"
"[14, 164]","[158, 193, 263, 477, 490]"
[363],"[193, 208, 263, 477, 490, 508, 536, 625, 718, 723]"
[247],"[438, 477, 490, 501, 605, 633, 723]"
[276],"[79, 490, 583, 715]"
[286],"[208, 478, 490, 508, 625, 626, 655, 723, 784]"
[81],"[175, 180, 184, 426, 429, 433, 442, 517, 520, 525, 593, 677, 694]"
[330],"[477, 490, 606, 718, 723, 729, 745]"
[330],"[197, 468, 490, 604, 606, 784]"
[222],"[483, 490, 659, 718]"
[367],"[46, 441, 490, 605, 633, 655, 659, 705]"
[80],"[138, 158, 477, 490, 535]"
[193],"[254, 262, 485, 490, 604]"
[306],"[446, 490, 546, 666, 723]"
[363],"[477, 490, 546, 611, 677]"
[363],"[89, 436, 490, 492, 508, 654, 718, 784]"
[363],"[475, 490, 640, 655, 666, 677]"
"[348, 357]","[89, 140, 426, 518, 577, 597, 605, 666, 763, 775, 784]"
[367],"[28, 208, 262, 425, 429, 441, 478, 490, 504, 525, 546, 552, 557, 593, 604, 659, 666, 677]"
[354],"[196, 477, 490, 504, 596, 597, 659, 677]"
[222],"[309, 444, 477, 490, 677]"
[363],"[79, 438, 477, 485, 490, 519, 633, 718]"
[348],"[434, 478, 490, 508]"
[94],"[442, 467, 490, 504, 547, 575, 729]"
[80],"[132, 477, 490, 546, 547, 549, 574]"
[363],"[438, 442, 490, 621, 637, 638, 659, 666]"
[164],"[131, 477, 490, 546, 552]"
[363],"[477, 490, 504, 519, 641, 666]"
[246],"[129, 131, 180, 477, 490, 519, 595, 799]"
[363],"[490, 504, 571, 574, 641, 655, 666, 677]"
[222],"[441, 449, 477, 490, 546, 659, 666, 799]"
"[276, 306]","[196, 438, 477, 485, 490, 546, 552, 597, 604, 605, 633, 655, 659, 666, 677, 723]"
[363],"[467, 490, 511, 514, 605, 655, 676, 677]"
[86],"[490, 546, 604, 640, 655, 659, 666, 677]"
[246],"[158, 490, 546, 552, 729]"
[222],"[309, 444, 477, 490, 677]"
"[227, 262]","[293, 430, 447, 449, 460, 478, 490, 574, 711, 729, 758]"
[363],"[438, 490, 605, 633, 652, 655, 677]"
"[241, 357, 363]","[442, 485, 507, 524, 625, 638, 723]"
[363],"[36, 442, 449, 490, 517, 605, 621, 641, 745]"
[363],"[467, 490, 492, 504, 514, 522, 641, 659]"
[80],"[132, 477, 490, 546, 547, 549, 574]"
[266],"[467, 490, 652, 655, 677]"
[363],"[467, 490, 574, 605, 655, 659, 677]"
[363],"[150, 475, 490, 677]"
[306],"[433, 490, 508, 546, 605, 659]"
[80],"[109, 272, 341, 547, 574, 742]"
"[222, 306, 363]","[442, 490, 508, 546, 547, 605, 659]"
[306],"[438, 442, 446, 490, 508, 546, 611, 621, 655, 666]"
[86],"[490, 546, 604, 640, 655, 659, 666, 677]"
[269],"[490, 508, 659, 718]"
